Pi_M,Pi_omega,Pi_geom,Pi_bar,Pi_eta,Pi_rho,Pi_M_aci,Pi_R
0.06522222222222222,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.6253830955221874
0.04544444444444445,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.48062179347118394
0.04544444444444445,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.48062179347118394
0.04544444444444445,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.48062179347118394
0.023333333333333334,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.27349236107942576
0.023333333333333334,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.27349236107942576
0.023333333333333334,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.27349236107942576
0.07311111111111111,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7010256845887552
0.07311111111111111,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7010256845887552
0.07577777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7265950104704119
0.07577777777777778,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7265950104704119
0.074,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7095487932159741
0.074,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7095487932159741
0.07222222222222222,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.6925025759615362
0.07222222222222222,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.6925025759615362
0.05027815107666344,0.045398162327718226,1.8666666666666667,0.04285714285714286,0.0,0.005390000000000001,0.044150631820120904,1.1387866719893693
0.04027715187021181,0.03731342271293376,1.8666666666666667,0.04285714285714286,0.2,0.005390000000000001,0.02352612905682538,1.7120178067937035
0.13675213675213677,0.1946334841628959,1.0,0.08,0.0,0.010049999999999998,0.1723960757007902,0.7932439076483568
0.12776939835763365,0.192709886877828,1.0,0.08,0.0054,0.010049999999999998,0.1693024985510087,0.7546811148752087
0.13192559074912016,0.18676174208144794,1.0,0.08,0.022099999999999998,0.010049999999999998,0.1598784486327711,0.825161814348996
0.1249539131892073,0.19021785067873298,1.0,0.08,0.0124,0.010049999999999998,0.16532657546967103,0.7558005289484143
0.13769063180827887,0.19021785067873298,1.0,0.08,0.0124,0.010049999999999998,0.16532657546967103,0.8328402824356455
0.12776939835763365,0.19010871040723976,1.0,0.08,0.0127,0.010049999999999998,0.16515524463952053,0.7736320977060834
0.11945701357466064,0.18697547511312215,1.0,0.08,0.0215,0.010049999999999998,0.16021322674901686,0.7456126812912697
0.1216021451315569,0.18458803167420812,1.0,0.08,0.0282,0.010049999999999998,0.15649094192434243,0.7770554872776408
0.12776939835763365,0.18455165158371034,1.0,0.08,0.028300000000000002,0.010049999999999998,0.15643510366532906,0.8167565678287806
0.11650745768392827,0.18437429864253388,1.0,0.08,0.0288,0.010049999999999998,0.1561594506021559,0.7460800946383439
0.11650745768392827,0.18234610859728503,1.0,0.08,0.0345,0.010049999999999998,0.1530269091346325,0.7613527473225343
0.10993799229093346,0.17988590497737553,1.0,0.08,0.0414,0.010049999999999998,0.1492677637952447,0.7365153030746737
0.11650745768392827,0.17611147058823523,1.0,0.08,0.052000000000000005,0.010049999999999998,0.14357644162574473,0.8114663963300041
0.10403888050946875,0.17319196832579184,1.0,0.08,0.0602,0.010049999999999998,0.13924184109131196,0.747181161165789
0.13286408580526227,0.1946334841628959,1.0,0.08,0.0,0.010049999999999998,0.1723960757007902,0.7706908945877662
0.11476453829395006,0.17735748868778275,1.0,0.08,0.048499999999999995,0.010049999999999998,0.14544462950557135,0.7890599926864534
0.11154684095860566,0.17476085972850675,1.0,0.08,0.0558,0.010049999999999998,0.14156197218732447,0.7879717923892673
0.04096096096096096,0.058772972972972966,1.5,0.06666666666666667,0.0,0.00524,0.05669916221684055,0.7224262115956787
0.04864864864864865,0.058772972972972966,1.5,0.06666666666666667,0.0,0.00524,0.05669916221684055,0.8580135357661287
